# f814w-band.
# 		File taken from http://www.stsci.edu/hst/wfc3/ins_performance/throughputs/Throughput_Tables
# 		Wavelength(nm)  Throughput(0-1)
1.700000000000000000e+02 0.000000000000000000e+00
1.700999999999999943e+02 0.000000000000000000e+00
1.701999999999999886e+02 0.000000000000000000e+00
1.703000000000000114e+02 0.000000000000000000e+00
1.704000000000000057e+02 0.000000000000000000e+00
1.705000000000000000e+02 0.000000000000000000e+00
1.705999999999999943e+02 0.000000000000000000e+00
1.706999999999999886e+02 0.000000000000000000e+00
1.708000000000000114e+02 0.000000000000000000e+00
1.709000000000000057e+02 0.000000000000000000e+00
1.710000000000000000e+02 0.000000000000000000e+00
1.710999999999999943e+02 0.000000000000000000e+00
1.711999999999999886e+02 0.000000000000000000e+00
1.713000000000000114e+02 0.000000000000000000e+00
1.714000000000000057e+02 0.000000000000000000e+00
1.715000000000000000e+02 0.000000000000000000e+00
1.715999999999999943e+02 0.000000000000000000e+00
1.716999999999999886e+02 0.000000000000000000e+00
1.718000000000000114e+02 0.000000000000000000e+00
1.719000000000000057e+02 0.000000000000000000e+00
1.720000000000000000e+02 0.000000000000000000e+00
1.720999999999999943e+02 0.000000000000000000e+00
1.721999999999999886e+02 0.000000000000000000e+00
1.723000000000000114e+02 0.000000000000000000e+00
1.724000000000000057e+02 0.000000000000000000e+00
1.725000000000000000e+02 0.000000000000000000e+00
1.725999999999999943e+02 0.000000000000000000e+00
1.726999999999999886e+02 0.000000000000000000e+00
1.728000000000000114e+02 0.000000000000000000e+00
1.729000000000000057e+02 0.000000000000000000e+00
1.730000000000000000e+02 0.000000000000000000e+00
1.730999999999999943e+02 0.000000000000000000e+00
1.731999999999999886e+02 0.000000000000000000e+00
1.733000000000000114e+02 0.000000000000000000e+00
1.734000000000000057e+02 0.000000000000000000e+00
1.735000000000000000e+02 0.000000000000000000e+00
1.735999999999999943e+02 0.000000000000000000e+00
1.736999999999999886e+02 0.000000000000000000e+00
1.738000000000000114e+02 0.000000000000000000e+00
1.739000000000000057e+02 0.000000000000000000e+00
1.740000000000000000e+02 0.000000000000000000e+00
1.740999999999999943e+02 0.000000000000000000e+00
1.741999999999999886e+02 0.000000000000000000e+00
1.743000000000000114e+02 0.000000000000000000e+00
1.744000000000000057e+02 0.000000000000000000e+00
1.745000000000000000e+02 0.000000000000000000e+00
1.745999999999999943e+02 0.000000000000000000e+00
1.746999999999999886e+02 0.000000000000000000e+00
1.748000000000000114e+02 0.000000000000000000e+00
1.749000000000000057e+02 0.000000000000000000e+00
1.750000000000000000e+02 0.000000000000000000e+00
1.750999999999999943e+02 0.000000000000000000e+00
1.751999999999999886e+02 0.000000000000000000e+00
1.753000000000000114e+02 0.000000000000000000e+00
